vrname,wgt
zED_APENR,0.083977744
zED_ATTAIN,0.14079367
zED_COLLEGE,0.075789712
zED_ECENROL,0.08010444
zED_HSGRAD,0.086954691
zED_MATH,0.11977505
zED_PRXECE,0.045454547
zED_PRXHQECE,0.045454547
zED_READING,0.12313645
zED_SCHPOV,0.13520636
zED_TEACHXP,0.063352779
zHE_FOOD,0.144677
zHE_GREEN,0.10172562
zHE_HEAT,0.078978226
zHE_HLTHINS,0.18656574
zHE_OZONE,0.062188406
zHE_PM25,0.078965746
zHE_RSEI,0.06423597
zHE_SUPRFND,0.06030811
zHE_VACANCY,0.17235518
zHE_WALK,0.050000001
zSE_ECRES,0.31677747
zSE_EMPRAT,0.27231389
zSE_JOBPROX,0.13111025
zSE_SINGLE,0.27979839
